Field number,class,sex,habitat,mass,forearm,BMI,Na,K,Cl,TCO2,BUN,Glu,Hct,pH,PCO2,HCO3,Beecf,AnGap,Hb_star
DMR783,M_NS,male,1,51.38,75.54,0.680169447,137,4.3,111,23,63,20,48,7.27,46.5,21.4,-6,9,16.3
DMR784,M_NS,male,1,81.38,76.83,1.059221658,144,5.9,119,23,83,35,45,7.182,56.3,21.1,-7,10,15.3
DMR790,F_NP,female,1,81.26,74.5,1.090738255,149,7.1,131,20,71,31,58,7.136,55.2,18.6,-10,7,19.7
DMR791,M_NS,male,1,82.13,74.95,1.095797198,150,5.3,120,28,43,46,49,7.162,72.1,25.8,-3,9,16.7
DMR794,F_PG,female,1,63.17,70.14,0.900627317,152,5.7,132,18,60,34,54,7.164,46.6,16.8,-12,9,18.4
DMR842,M_NS,male,1,65.42,74.9,0.873431242,135,4.5,108,24,51,41,46,7.254,50.5,22.4,-5,9,15.6
DMR843,F_PG,female,1,63.72,74.65,0.853583389,137,4.8,107,24,27,65,47,7.151,62.3,21.8,-7,13,16
DMR844,F_NP,female,1,66.48,70.24,0.946469248,137,4.4,105,22,3,263,52,7.205,52.5,20.8,-7,16,17.7
DMR845,F_PG,female,1,64.12,72.6,0.883195592,153,4.4,116,23,36,20,52,7.171,58.3,21.3,-7,19,17.7
DMR846,F_PG,female,1,59.16,71.95,0.822237665,126,4,103,27,35,21,42,7.288,52.4,25.1,-2,2,14.3
DMR847,F_NP,female,1,71.15,75.42,0.943383718,140,3.7,106,26,14,120,51,7.24,57,24.4,-3,14,17.3
DMR848,F_NP,female,1,48.14,74.14,0.649312112,136,6.3,111,25,15,157,45,7.201,59.6,23.4,-5,7,15.3
DMR849,F_PG,female,1,51.08,74.96,0.681430096,126,3.6,94,25,3,157,46,7.111,72.3,23,-6,13,15.6
DMR850,M_NS,male,1,77.41,78.74,0.983108966,131,6.4,113,21,9,109,46,7.246,44.6,19.4,-8,5,15.6
DMR851,F_PG,female,1,63.45,73.22,0.866566512,125,5.2,103,26,8,84,47,7.224,58.1,24,-4,3,16
DMR852,F_PG,female,1,66.44,71.84,0.924832962,136,4.4,104,21,16,113,49,7.153,56.1,19.7,-9,16,16.7
DMR853,F_PG,female,1,62.2,71.78,0.86653664,133,5.7,114,22,15,104,43,7.201,53.1,20.8,-7,5,14.6
DMR855,F_PG,female,0,61.04,73.8,0.827100271,145,9,121,26,67,40,62,7.089,77,23.3,-7,5,21.1
DMR857,M_NS,male,0,74.76,80.13,0.932983901,161,6.8,134,17,84,30,61,7.074,54,15.8,-14,19,20.7
DMR862,F_NP,female,0,66.96,72.35,0.925501037,141,3.7,106,20,8,283,60,6.961,80.2,18.1,-14,21,20.4
DMR864,F_PG,female,0,72.98,74.38,0.981177736,135,3.5,101,19,13,375,44,7.022,66.4,17.2,-14,20,15
DMR868,F_NP,female,0,52.59,66.23,0.794051034,139,4,105,23,3,233,49,7.201,54.8,21.5,-7,16,16.7
DMR869,F_PG,female,0,71.96,72.66,0.990366089,137,4.4,105,25,3,126,51,7.25,52.8,23.2,-4,14,17.3
DMR870,F_PG,female,0,78.67,72.72,1.081820682,133,3.9,104,20,3,100,44,7.156,53.3,18.8,-10,15,15
DMR871,F_NP,female,0,49.08,67.69,0.725070173,127,6.3,107,23,3,110,43,7.243,50.2,21.7,-6,4,14.6
DMR872,F_NP,female,0,46.59,64.54,0.721877905,133,7.8,102,25,3,407,45,6.915,109.1,22.1,-11,16,15.3
DMR873,F_NP,female,0,46.33,66.34,0.698372023,140,3.9,101,25,4,229,43,7.155,65.3,23,-6,20,14.6
DMR884,M_NS,male,0,73,74.39,0.981314693,150,4.7,123,25,71,40,57,7.202,59,23.1,-5,8,19.4
DMR891,M_NS,male,0,68.05,73.24,0.929137084,161,4.5,137,21,77,20,59,6.925,90.5,18.8,-14,10,20.1
DMR892,F_PG,female,0,71.54,74.91,0.955012682,148,5.2,116,25,42,141,49,7.157,65.7,23.3,-5,14,16.7
DMR893,F_NP,female,0,36.72,66.68,0.550689862,155,5.8,123,29,63,20,56,7.114,81.5,26.1,-3,12,19
DMR894,F_NP,female,0,68.41,76.87,0.889944061,149,3.7,125,19,57,25,53,7.216,44.1,17.9,-10,10,18
DMR900,M_NS,male,0,73.69,75.38,0.97758026,152,3.8,118,28,59,30,57,7.141,75.8,25.8,-3,12,19.4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
